5000	829	729
10000	487	469
15000	146	247
20000	749	616
25000	506	475
30000	349	379
35000	835	685
40000	307	360
45000	692	607
50000	343	376
55000	504	490
60000	422	426
65000	799	665
70000	146	254
75000	210	258
80000	635	572
85000	635	567
90000	635	571
95000	635	575
100000	635	567
105000	644	577
110000	645	576
115000	648	577
120000	641	569
125000	646	580
130000	639	570
135000	643	576
140000	642	576
145000	641	572
150000	644	577
155000	642	570
160000	643	577
165000	644	575
170000	643	573
175000	648	580
180000	646	575
185000	644	577
190000	650	574
195000	649	582
200000	648	576
205000	655	581
210000	662	590
215000	665	584
220000	668	591
225000	669	588
230000	670	590
235000	672	595
240000	672	591
245000	675	591
250000	676	593
255000	678	599
260000	679	595
265000	679	593
270000	680	598
275000	683	594
280000	683	603
285000	684	594
290000	685	600
295000	687	602
300000	687	596
305000	688	600
310000	689	606
315000	689	601
320000	691	598
325000	693	608
330000	691	600
335000	693	605
340000	694	604
345000	694	603
350000	693	606
355000	696	605
360000	697	609
365000	699	603
370000	698	611
375000	700	604
380000	700	612
385000	700	604
390000	702	612
395000	702	606
400000	704	613
405000	705	610
410000	705	607
415000	705	615
420000	705	609
425000	707	608
430000	707	610
435000	709	615
440000	708	616
445000	710	617
450000	710	618
455000	710	619
460000	712	616
465000	710	611
470000	712	613
475000	713	621
480000	713	612
485000	714	619
490000	713	616
495000	715	614
500000	716	618
505000	717	619
510000	718	617
515000	717	620
520000	717	614
525000	719	622
530000	717	614
535000	719	622
540000	718	616
545000	720	622
550000	720	619
555000	720	620
560000	722	625
565000	722	617
570000	723	624
575000	722	622
580000	725	617
585000	723	621
590000	723	625
595000	724	624
600000	724	619
605000	725	618
610000	724	621
615000	724	624
620000	726	627
625000	727	628
630000	725	625
635000	728	625
640000	727	627
645000	728	629
650000	729	626
655000	727	624
660000	727	624
665000	729	626
670000	728	626
675000	729	629
680000	729	627
685000	730	629
690000	729	626
695000	729	625
700000	730	624
705000	730	622
710000	730	625
715000	730	626
720000	729	621
725000	729	626
730000	731	628
735000	729	621
740000	731	631
745000	732	628
750000	731	624
755000	732	623
760000	730	623
765000	730	627
770000	731	630
775000	732	625
780000	733	623
785000	733	630
790000	732	625
795000	732	627
800000	732	622
805000	732	631
810000	732	622
815000	733	631
820000	734	623
825000	734	630
830000	733	627
835000	733	626
840000	733	628
845000	735	629
850000	735	627
855000	734	630
860000	734	623
865000	735	629
870000	735	632
875000	736	630
880000	736	628
885000	735	627
890000	736	629
895000	737	633
900000	735	630
905000	736	623
910000	737	631
915000	736	626
920000	739	634
925000	737	626
930000	738	629
935000	736	630
940000	736	626
945000	739	634
950000	737	625
955000	738	630
960000	739	632
965000	740	630
970000	740	632
975000	739	630
980000	738	628
985000	740	633
990000	740	628
995000	739	630
1000000	739	634
1005000	739	632
1010000	739	629
1015000	739	627
1020000	741	629
1025000	740	631
1030000	741	632
1035000	741	632
1040000	742	631
1045000	741	632
1050000	742	633
1055000	743	634
1060000	742	635
1065000	741	636
1070000	742	636
1075000	744	632
1080000	742	629
1085000	744	630
1090000	742	629
1095000	744	629
1100000	745	636
1105000	745	638
1110000	744	635
1115000	746	634
1120000	746	634
1125000	744	633
1130000	745	635
1135000	745	635
1140000	746	634
1145000	746	637
1150000	748	638
1155000	747	635
1160000	746	638
1165000	748	639
1170000	748	640
